no,Tgl_Iklan,url,harga,Kota,LT,LB,KT,KM,KTP,KMP,carport,garasi,listrik,surat,judul,deskripsi
1,05-04-2021,https://www.rumah123.com/properti/medan/hos8126236/,300000000,Medan,120,120,3,2,0,0,0,0,1300,SHM,Perumnas Helvetia,"Alamat perumnas helvetia gang kemuning 10


Ukuran 8x15

Kmar 3
Kmar mandi 2
Surat SHm
Harga 350 bisa nego"
2,05-04-2021,https://www.rumah123.com/properti/medan/hos8123867/,488000000,Medan,72,60,3,2,0,0,1,0,2200,SHM,Perumahan Cantik Modren Luckville New 2lantai Termurah,"STOCK TERBATAS HARGA HOT LOKASI STRATEGIS PINTU TOL MASUK TANJUNG MULIA

Perumahan Luckville New 2lantai Termurah*l
Jalan Veteran Sp Jl Amal
(Pas Samping Maju Bersama Krakatau)

LUCKVILLE NEW Tanpa Ribet Tanpa Bank Tanpa Bunga Tanpa Sita MEMBANTU ANDA MEMILIKI HUNIAN LAYAK Harga TERMURAH

Lokasi terdekat :

200 Meter dari Maju Bersama Krakatau
300 Meter dari Pajak Pagi Aluminium
500 Meter dari SPBU Krakatau Ujung
1 KM dari Tol Tj Mulia
Sekolah TK SD SMP SMA
Swalayan Kasimura
SPBU
RS mitra Medika
Dekat Kantor Lurah

Spesifikasi :
Type 60
2 Lantai
Tanah: 6x12m
3 Kamar Tidur
2 Kamar Mandi
Dapur
Carport
PLN 2.200 Watt
PDAM
SHM
Kotamadya Medan Deli

Harga : Rp 488.000.000,

Program Khusus

Cash Progress STB 6 Bulan Diskon 32%:
Rp 335.000.000
Cash Keras On Progres Rp. 370.000.000
Cash On Progres Rp. 380.000.000
Bayar saat Jadi Rp. 395.000.000

Minat hub:
Martin tarigan 08126995769
Instagram: @martinproperty8"
3,04-04-2021,https://www.rumah123.com/properti/medan/hos8121113/,1050000000,Medan,96,96,3,3,0,0,0,0,2200,SHM,Ready Stok Hunian Mewah,"PROMO TAHUN BARU BELI RUMAH GRATIS BIAYA*

*Ready stok*
*Tinggal bawa koper*

*Total 30 unit*
*Sisa 2 unit*

HUNIAN MEWAH
OCEAN SKY PARK
JLN MERPATI RINGROAD 20122
Medan

DESAIN MODERN MEWAH DI KOTA MEDAN

HUNIAN MEWAH 2 lantai

TYPE 115
Ukuran 6x16 m2
Kamar tidur 3
Kamar mandi 3
Shm
Harga 1.050.000.000

SHM/PBB/IMB
PDAN/PLN
SCURITY.
MASUK KOMPLEK MENGGUNAKAN KARTU
OTOMATIS.

*Promo gratis biaya*
Gratis AJB
Gratis BPHTB
Gratis bbn

Dengan Lokasi sangat strategis yaitu dekat ke :
Sekolah ternama AL-AMJAD.
STIKES FLORA
HOTEL SYARIAH GRAND
JAMMEE
HALTE BUS ACEH SEMPATI STAR
MANHATTAN/RCW
FOCAL POINT.DLL

Row komplek 9 meter

merupakan pilihan investasi terbaik anda

Info lanjut segera hubungi marketing kesayangan anda
call/wa
wa.me//6282274827652"
4,04-04-2021,https://www.rumah123.com/properti/medan/hos8120718/,302500000,Medan,82,82,3,1,0,0,0,0,1300,SHM,Perumahan seekocik,"Pilihan terbaik untuk para milenial NEW LAUNCHING Seekocik:

persembahan terbaru dari *SEEKOCIK* :

*THE TWINTY ONE*

Lokasi : jl MASJID / SUMARSONO HELVETIA

Rumah dengan lingkungan yang nyaman & lokasi strategis dekat dengan pintu toll

Total ada 8 unit :

BLOK 21A & 21B :
TYPE 60 ( 7 x 15 )
3 kamar tidur
1 kamar mandi
SHM
Imb
Air
Listrik 1300

Harga normal Rp. 650.000.000
Promo pembelian Cash keras *DISKON* 45%
*CUKUP BAYAR*
*Rp. 357.500.000*


BLOK 21C - 21H :
TYPE 45 ( 6 x 14 )
2 kamar tidur
1 kamar mandi
SHM
Imb
Air
Listrik 1300

Harga normal Rp. 550.000.000
Promo pembelian Cash keras *DISKON* 45%
*CUKUP BAYAR*
*Rp. 302.500.000*

Dekat pintu TOLL HELVETIA
Dekat Sekolah
Dekat masjid
Dekat Klinik
Dekat Minimarket
Dekat Supermarket
Dekat Rumah Sakit
Dekat pusat pasar tradisional

Dapatkan juga *PROMO* cicilan sd 60 bulan *TANPA BUNGA!!!!!!*"
5,04-04-2021,https://www.rumah123.com/properti/medan/hos8120647/,210000000,Medan,84,50,2,1,0,0,0,0,1300,SHM,termurah johor saat ini cash 210 juta,"Hub opi hp/wa 081370710493

Soft Launching
Segera di bangun NEW PROJECT di kawasan JOHOR.

The CLUSTER GDP JOHOR
Jl Sidodadi / Jl Tani Bersaudara.
Kawasan Johor, Sumatra Utara, Indonesia

*PROMO PEMBELIAN CASH TYPE ASOKA*
*HARGA 210 JUTA.*
*(Untuk 5 unit pembeli pertama)*

Spesifikasi Harga, dan Sistem Pembayaran.

Type Asoka
Uk Tanah 6x14
Type 40
Kamar Tidur 2
Kamar Mandi 1
Harga Rp 350.000.000
(Cicil developer tanpa bunga s/d 100 bulan)
*Promo CASH Harga 210 Juta (unit terbatas utk 4 unit pertama, serah terima 6 bulan)*
*Promo CASH Harga 164,5 Juta (unit terbatas utk 2 unit pertama, serah terima 24 bulan)*

Type Lavender
Uk Tanah 6x15
Type 55
Kamar Tidur 3
Kamar Mandi 1
Harga Rp 500.000.000
(Cicil developer tanpa bunga s/d 100 bulan)
*Promo CASH Harga 300 Juta (unit terbatas utk 4 unit pertama, serah terima 6 bulan)*
*Promo CASH Harga 235 Juta (unit terbatas utk 2 unit pertama, serah terima 24 bulan)*"
6,06-04-2021,https://www.rumah123.com/properti/medan/hos8128060/,250000000,Medan,50,90,2,1,0,0,0,0,1300,SHM,Perumahan nyaman dan Asri di Tembung,"Hunian segar,nyaman, tenteram dan harga termurah dikelasnya.

KOMPLEK NUSANTARA
pasar 9 Tembung

Type 50/90
uk.tanah 6 x 15 m
2 KT,1KM
Rp. 250 jt

Akses ke :
- batang kuis,bdr.setia,
laut dendang,KNIA
- pajak tradisional
Gambir,perkantoran,
sarana ibadah,sekolah

INFO & SURVEY HUB :
Call/Wa 0812 6352 155
Call 0852 6048 5511"
7,03-04-2021,https://www.rumah123.com/properti/medan/hos8119054/,660000000,Medan,108,140,3,3,0,0,0,0,2200,SHM,rumah 2 lantai dekat cemara asri medan cepat,"RUMAH READY STOCK
Hanya 660 Jt Gaesss

Hunian 2 lantai model kekinian

Lokasi Jl. Purwosari Krakatau bisa masuk dari Jl. Cemara

Lt. 6 x 18 mtr
Lb. Type 140
3 Kamar Tidur
3 Kamar Mandi
Lantai Granit

SHM
IMB
Air PDAM

Bisa Bantu KPR DP 10%

Akses strategis :
2 menit Gerbang TOL ANIF Cemara
1 menit ke Pajak Cemara
3 menit ke Jl. Bilal
4 menit ke Kampus UMSU Gelugur
5 menit ke Sekolah International PERTIWI"
8,03-04-2021,https://www.rumah123.com/properti/medan/hos8118974/,1200000000,Medan,135,135,2,1,0,0,0,0,2200,SHM,rumah baru mungil kece tasbi 1,"Hub opi hp/wa 081370710493

Lokasi : Tasbih 1
Luas tanah : 9x15
Luas Bangunan : 100m2
KM : 1
KT : 2
Harga 1.2 M (nego)
Surat SHM"
9,03-04-2021,https://www.rumah123.com/properti/medan/hos8118049/,395000000,Medan,45,66,2,1,0,0,0,0,1300,SHM,RUMAH TANJUNG SARI RINGROAD PASAR 1,"CLUSTER JANNATI REGENCY
Jl. Pasar 1, Ringroad Medan

Rumah Cantik dan Mewah di Ringroad - Setia budi

A1 dan A2
Type 140
Luas 5 x 20
Harga 950 jt
Cash 950 jt

A3, A4 dan A5
Type 45 -KT 2-Km 1
Luas 6 x 11
Harga 450 jt
Cash 400 jt

Lokasi Strategis :
Dekat ke Ringroad, Setiabudi, Sunggal, Gatsu
Dekat ke RCW, Manhattan, Carefour
Dekat ke sekolah dan kampus
SHM, IMB
Tinggi plafon 4 meter
_________________________
Kualitas DIJAMIN (buy back guaranty)
Pengerjaan RAPI
Desain Suka - Suka
Cara Bayar
KPR Bank
Cash Keras
Cash Bertahap 6 bulan
Bayar Saat Jadi"
10,02-04-2021,https://www.rumah123.com/properti/medan/hos8113218/,825000000,Medan,90,108,3,2,0,0,0,0,2200,SHM,rumah selangkah ke masjid pondok surya medan helvetia,"2 lantai
Kamar tidur
Kamar mandi
Lantai Granit uk 60 x 60
Taman
Carport keramik.
SHM

Sistem Bayar :
Cash Keras
Cash Bertahan
KPR Bank

GRATIS AC 1 PK dan TV LED 32""

Lokasi hanya 10 mnt dari titik NOL kota Medan
Kantor Pos / Lap Merdeka
Nyaman dihuni, mantap utk investasi
Selangkah ke Mesjid Umar Bin Khattab

Akses :
3 menit ke SPBU
3 menit ke RS Sufina Aziz
5 menit ke Millennium Plaza
10 menit ke Deli Park Mall"
